IRM_STATE_OFFICE,IRM_DEPOT_NAME,IRM_CONSUMER_NAME,IRM_ERP_CONSUMER_CODE,IRM_LATITUDE,IRM_LONGITUDE,IRM_ROUTE_STATUS,IRM_ROUTE_VERIFIED_BY,IRM_ROUTE_VERIFIED_AT,IRM_ROUTE_DISTANCE,IRM_ROUTE_ID,IRM_IS_NEW,IRM_CREATED_AT,IRM_CREATED_BY,IRM_UPDATED_AT,IRM_UPDATED_BY,IRM_ISACTIVE,IRM_CUSTOMER_ID,IRM_GROUP_NO,IRM_IS_REJECTED
Uttar Pradesh 1 (NR),KANPUR TERMINAL,ABHISHEK KISSAN SEVA KENDRA,232732,26.630079,79.481117,Accepted,Kanpur,24-Dec-11,107.5,3802,1,7/25/2014 12:30,,9/10/2015 19:21,3129,0,1,731,N
Delhi (NR),Bijwasan Terminal,Abhishek Motors,186857,28.656151,77.090407,Accepted,Bijwasan,28-Jan-11,25,23071,1,7/25/2014 12:48,,,,1,1,2447,N
Karnataka (SR),Bangalore Terminal,ABHISHEK SOLVENT EXTRACTION LTD.,121402,14.324489,76.629157,Accepted,A K Kundu,11-Nov-11,227,34007,1,2/5/2015 9:21,,,,1,1,16831,N
Karnataka (SR),Bangalore Terminal,ABHISRI SERVICE CENTRE,226349,13.259831,76.484642,Accepted,CHANNA M.K,6-Feb-13,,20793,1,2/5/2015 9:21,,,,1,1,16706,N
Karnataka (SR),Hassan Top,ABHISRI SERVICE CENTRE,226349,13.259831,76.484642,Accepted,AS,20-Sep-11,59.53,3692,1,2/5/2015 9:21,,,,1,1,17982,N
Delhi (NR),REWARI TERMINAL,ACTION CONSTRUCTION EQUIPMENT,222571,28.213322,77.276894,Accepted,Rewari,6-Feb-12,76,12443,1,7/25/2014 12:58,,,,1,1,3937,N
Uttar Pradesh 1 (NR),GONDA DEPOT,ADARSH AUTOMOBILES (BHANPUR),154110,27.020842,82.666473,Accepted,VERMA,14-Jul-11,113.5,13617,1,7/25/2014 12:28,,,,1,1,436,N
Uttar Pradesh 2 (NR),Shahjahanpur Depot,ADARSH FILLLING STATION (IBP),186489,28.371501,80.221126,Accepted,Banthra,9-Feb-11,100.5,12001,1,1/8/2015 21:42,1,,,1,1,15299,N
Uttar Pradesh 1 (NR),Kanpur Terminal,ADARSH GAURI S/ S JETHBANI,193322,26.792021,81.520473,Accepted,ABHYUDAYA_KUMAR,24-Aug-15,,590658,1,10/1/2014 16:20,6,,,1,1,4690,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,ADARSH GAURI S/ S JETHBANI,193322,26.792021,81.520473,Accepted,Amousi,5-Sep-11,84,1755,1,7/25/2014 12:33,,,,1,1,1227,N
Uttar Pradesh 2 (NR),Agra Top,ADARSH KISSAN SEWA KENDRA,197723,27.541205,79.321705,Accepted,Agra Top,,133,1002,1,1/8/2015 21:42,1,,,1,1,13556,N
Delhi (NR),AMBALA TERMINAL,ADARSH SERVICE STATION,102027,30.579645,77.015984,Accepted,SUMIT KHURANA,27-Mar-15,43.5,7001,1,7/25/2014 12:39,,,,1,1,1969,N
Uttar Pradesh 2 (NR),Meerut Terminal,ADARSH SERVICE STATION,186566,28.6739,77.4302,Accepted,MG,9-Jul-11,47,1996,1,1/8/2015 21:42,1,,,1,1,14697,N
Uttar Pradesh 1 (NR),Allahabad Terminal,ADARSH TRAVELS BUS SERVICE,195730,25.912711,81.995358,Accepted,Sanjay Kumar,19-Aug-15,109,5004,0,11/13/2014 11:19,,11/13/2014 11:19,16,1,1,10111,N
Uttar Pradesh 2 (NR),Bareilly Depot,"ADDL DIGP,G CENTRE,CRPF,RAMPUR C/P",155602,28.785569,79.010061,Accepted,Jangpangi Pradeep,8-Jan-13,78,11449,1,1/8/2015 21:42,1,,,1,1,13360,N
Uttar Pradesh 1 (NR),KANPUR TERMINAL,ADDL.DIGP GC CRPF,521411,26.727575,80.895393,Accepted,MIRZA,20-Jul-11,91.5,587674,1,7/25/2014 12:30,,,,1,1,730,N
Uttar Pradesh 1 (NR),Gonda Depot,ADHOC JAGMOHAN FILLING STATION,277671,,,Accepted,Sitamani Tripathi,24-Aug-15,54.7018952,592646,1,10/7/2014 13:10,6,,,1,1,5176,N
Uttar Pradesh 1 (NR),KANPUR TERMINAL,ADHOC SSR FILLING STATION,251471,26.853622,81.021782,Accepted,Kanpur,24-Dec-11,113,15276,1,7/25/2014 12:30,,,,1,1,734,N
Uttar Pradesh 2 (NR),Najibabad Depot,ADHUNIK SEWA KENDRA,155376,29.472201,77.722646,Accepted,VG,3-Aug-11,88.5,92004,1,1/8/2015 21:42,1,,,1,1,14497,N
Uttar Pradesh 2 (NR),Agra Top,ADITYA FILLING STATION,181344,27.150444,77.773154,Accepted,Agra Top,16-Mar-12,50.5,1003,1,1/8/2015 21:42,1,,,1,1,13431,N
Uttar Pradesh 1 (NR),GONDA DEPOT,ADITYA KISAN SEWA KENDRA,196494,27.583183,82.063011,Accepted,GUPTA,30-Apr-11,62.5,313,1,7/25/2014 12:28,,,,1,1,437,N
Karnataka (SR),Bijapur Depot,ADITYA PETROLEUMS,230130,16.549311,75.178947,Accepted,P VANSAKUMARAN,30-Oct-11,84,4724,1,2/5/2015 9:21,,,,1,1,16707,N
Uttar Pradesh 2 (NR),Mathura Terminal,ADOBE SYSTEM INDIA (P) LIMITED,110229,28.588927,77.344949,Accepted,Jangpangi Pradeep,22-Jan-13,211.4,587333,1,1/8/2015 21:42,1,,,1,1,14104,N
Uttar Pradesh 2 (NR),Meerut Terminal,ADVANT IT PARK PRIVATE LIMITED,245512,28.500858,77.410844,Accepted,AB,13-Jun-12,79,12885,1,1/8/2015 21:42,1,,,1,1,14822,N
Uttar Pradesh 1 (NR),KANPUR TERMINAL,AELIA FILLING CENTRE,153933,26.910679,80.947792,Accepted,ABHYUDAYA_KUMAR,24-Aug-15,142.8396701,15451,1,7/25/2014 12:30,,,,1,1,736,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,AELIA FILLING CENTRE,153933,26.910679,80.947792,Accepted,RAJEEV,5-Oct-10,48,8003,1,7/25/2014 12:33,,,,1,1,1230,N
Punjab (NR),JALANDHAR TERMINAL,AFCONS INFRASTRUCTURE LTD.JAGATI,244160,32.836521,74.91143,Accepted,Jalandhar,16-Sep-11,246,17341,1,10/15/2014 14:56,1,,,1,1,6015,N
Uttar Pradesh 1 (NR),Gonda Depot,AFZAL PETROLEUM KSK,278145,,,Accepted,Sitamani Tripathi,24-Aug-15,120.2313105,592105,1,10/5/2014 13:00,6,,,1,1,5034,N
Uttar Pradesh 2 (NR),Bareilly Depot,AGARWAL AUTO SALES & SERVICE,155997,28.886206,79.260628,Accepted,SANJAY DOBRIYAL,2-Apr-13,104.5,849,1,1/8/2015 21:42,1,,,1,1,13235,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,AGARWAL BROTHERS BILGRAM,154152,27.174877,80.04562,Accepted,Amousi,,116.5,8009,1,7/25/2014 12:33,,,,1,1,1228,N
Uttar Pradesh 1 (NR),Kanpur Terminal,AGARWAL BROTHERS HAIDERGARH,165000,26.609664,81.361516,Accepted,ABHYUDAYA_KUMAR,24-Aug-15,,590526,1,9/4/2014 14:00,6,,,1,1,4558,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,AGARWAL BROTHERS HAIDERGARH,165000,26.609664,81.361516,Accepted,RAJEEV,28-Apr-11,69.5,8005,1,7/25/2014 12:33,,,,1,1,1229,N
Uttar Pradesh 1 (NR),KANPUR TERMINAL,AGARWAL BROTHERS JIAMAU,165001,26.847998,80.962212,Accepted,Kanpur,4-Nov-11,107,586933,1,7/25/2014 12:30,,,,1,1,737,N
Uttar Pradesh 1 (NR),Lucknow Terminal,AGARWAL BROTHERS JIAMAU,165001,26.847998,80.962212,Accepted,EFKADMIN,24-Aug-15,,600937,0,8/24/2015 14:36,6,8/24/2015 14:36,6,1,1,19598,N
Uttar Pradesh 1 (NR),Kanpur Terminal,AGARWAL ENTERPRISES,175357,,,Accepted,ABHYUDAYA_KUMAR,24-Aug-15,155.8580736,590525,1,9/4/2014 13:50,6,,,1,1,4555,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,AGARWAL ENTERPRISES,175357,26.699684,81.246674,Accepted,RAJEEV,15-Jun-11,70,13930,1,7/25/2014 12:33,,,,1,1,1231,N
Uttar Pradesh 1 (NR),BAITALPUR DEPOT,AGARWAL FILLING STATION,155635,25.862213,83.854492,Accepted,KUMAR,29-Dec-10,132.5,11006,1,7/25/2014 12:25,,8/1/2015 21:04,6,0,1,154,N
Uttar Pradesh 1 (NR),MUGHALSARAI TERMINAL,AGARWAL FILLING STATION,155635,25.862213,83.854492,Accepted,R R,8-Aug-11,132.5,14794,1,7/25/2014 12:35,,,,1,1,1470,N
Delhi (NR),Bijwasan Terminal,Agarwal Metal Works Pvt. Ltd.,101910,28.204118,76.616365,Accepted,ANIL K,6-Jun-11,71,13158,1,7/25/2014 12:48,,,,1,1,2450,N
Delhi (NR),REWARI TERMINAL,Agarwal Metal Works Pvt. Ltd.,101910,28.204118,76.616365,Accepted,Rewari,,8.5,115002,1,7/25/2014 12:58,,,,1,1,3984,N
Uttar Pradesh 1 (NR),BAITALPUR DEPOT,AGARWAL OIL AGENCY,155168,26.892379,83.977706,Accepted,KUMAR,29-Dec-10,58,11003,1,7/25/2014 12:25,,,,1,1,155,N
Uttar Pradesh 2 (NR),Najibabad Depot,AGARWAL SERVICE STATION,187531,29.413778,77.699487,Accepted,VG,8-Dec-10,88.5,92007,1,1/8/2015 21:42,1,,,1,1,14496,N
Uttar Pradesh 1 (NR),KANPUR TERMINAL,AGARWAL SERVICE STN KATHWARA,154909,26.322492,81.18179,Accepted,Kanpur,14-Jul-11,124,13334,1,7/25/2014 12:30,,,,1,1,738,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,AGARWAL SERVICE STN SANDILA,155719,27.063209,80.507784,Accepted,Amousi,,64.5,8011,1,7/25/2014 12:33,,,,1,1,1232,N
Uttar Pradesh 1 (NR),Kanpur Terminal,AGARWAL TRADING COMPANY,165002,26.806622,81.528214,Accepted,ABHYUDAYA_KUMAR,24-Aug-15,,590581,1,9/8/2014 13:40,6,,,1,1,4613,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,AGARWAL TRADING COMPANY,165002,26.806622,81.528214,Accepted,RAJEEV,25-Jul-11,84,933,1,7/25/2014 12:33,,,,1,1,1233,N
Uttar Pradesh 1 (NR),Kanpur Terminal,AGARWAL TRAVELLERS,173972,,,Accepted,RAJESH KUMAR DIXIT,11-Sep-15,143.3624717,590703,1,10/3/2014 13:00,6,,,1,1,4736,N
Uttar Pradesh 1 (NR),Lucknow Terminal,AGARWAL TRAVELLERS,173972,0,0,Accepted,R_Dixit,26-Aug-15,,591328,0,8/26/2015 11:51,6,8/26/2015 11:51,13226,1,1,4893,N
Uttar Pradesh 2 (NR),Shahjahanpur Depot,AGARWAL TRAVELLERS,173972,27.392643,80.132744,Accepted,Banthra,,79,407,1,1/8/2015 21:42,1,,,1,1,15221,N
Uttar Pradesh 1 (NR),Kanpur Terminal,AGAUSS KISSAN SEWA KENDRA,254272,26.946833,79.716989,Accepted,R Singhal,11-Sep-15,,591146,1,10/4/2014 12:10,6,,,1,1,4857,N
Uttar Pradesh 1 (NR),Baitalpur Depot,AGGARWAL AUTOMOBILES (ITWA),154576,27.335235,82.69906,Accepted,Vipul Prasad,22-Aug-15,,590512,0,11/4/2014 12:10,6,11/4/2014 12:10,6,1,1,9906,N
Uttar Pradesh 1 (NR),GONDA DEPOT,AGGARWAL AUTOMOBILES (ITWA),154576,27.335235,82.69906,Accepted,VERMA,26-Mar-11,99,13657,1,7/25/2014 12:28,,,,1,1,434,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,AGGARWAL FILLING STATION,155851,28.376034,80.974073,Accepted,Amousi,25-Oct-11,236.5,846,1,7/25/2014 12:33,,,,1,1,1234,N
Punjab (NR),Bathinda Terminal,AGGARWAL MOTORS,199903,30.962309,74.615871,Accepted,Vipin Goyal,23-Mar-15,115.1057773,16056,0,1/23/2015 17:03,1,1/23/2015 17:03,6,1,1,5563,N
Punjab (NR),BATHINDA TERMINAL,AGGARWAL PETRO,220468,29.807152,75.424004,Accepted,Pradeep Sharma,25-Jan-15,80,4856,1,10/15/2014 14:56,1,,,1,1,5532,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,AGGRAWAL BROTHERS,186331,27.025225,81.034065,Accepted,KUMAR,30-Apr-11,78,8007,1,7/25/2014 12:33,,,,1,1,1236,N
Delhi (NR),PANIPAT TOP,AGILENT TECHNOLOGIES,525733,28.372944,76.898811,Accepted,V,13-Jul-11,166.5,588308,1,7/25/2014 12:52,,,,1,1,2892,N
Delhi (NR),Bijwasan Terminal,Agni Insulations,185176,28.5358,77.0623,Accepted,V,8-Sep-11,66,13183,1,7/25/2014 12:48,,,,1,1,2451,N
Delhi (NR),REWARI TERMINAL,Agni Insulations,185176,28.5358,77.0623,Accepted,DSO,10-Dec-11,99.5,12154,1,7/25/2014 12:58,,,,1,1,3988,N
Uttar Pradesh 2 (NR),Haldwani Depot,AGRO SERVICE AND FILLING ST.,156401,29.398364,79.126525,Accepted,PANKAJ KUMAR,16-Jan-13,75,6148,1,1/8/2015 21:42,1,,,1,1,14088,N
Uttar Pradesh 2 (NR),Bareilly Depot,AGRO SERVICE CENTRE (AONLA),153966,28.267466,79.168892,Accepted,Aonla,17-Nov-11,5,1840,1,1/8/2015 21:42,1,,,1,1,13608,N
Punjab (NR),Bathinda Terminal,AHUJA ENTERPRISES,108755,30.408707,74.03422,Accepted,Rahul Jain,12-Jan-15,,597940,1,12/18/2014 14:30,6,,,1,1,12709,N
Uttar Pradesh 2 (NR),Haldwani Depot,AHURA  PETROLEUM,186492,28.918774,79.969315,Accepted,AGARWAL,15-Jul-11,79,5553,1,1/8/2015 21:42,1,,,1,1,13963,N
Uttar Pradesh 2 (NR),Bareilly Depot,AICA Laminates India Pvt.Ltd.,203416,29.008531,79.416206,Accepted,SWARAJ MISRA,4-Aug-12,117,20525,1,1/8/2015 21:42,1,,,1,1,13483,N
Karnataka (SR),Bangalore Terminal,AIR FORCE STATION - YELAHANKA,503712,13.13124,77.614997,Accepted,EMMANUEL SUMIT ECKA,27-Jul-12,45,34011,1,2/5/2015 9:21,,,,1,1,16579,N
Karnataka (SR),Mysore Depot,AIR FORCE STATION - YELAHANKA,503712,13.13124,77.614997,Accepted,aneeshvenkat,9-Jul-12,11,15517,1,2/5/2015 9:21,,,,1,1,17828,N
Karnataka (SR),Bangalore Terminal,AISHWARYA SERVICE STATION,198389,13.323159,76.855744,Accepted,A Srikanth,12-Nov-12,,20780,1,2/5/2015 9:21,,,,1,1,16827,N
Karnataka (SR),Hassan Top,AISHWARYA SERVICE STATION,198389,13.323159,76.855744,Accepted,AS,20-Sep-11,105.5,53003,1,2/5/2015 9:21,,,,1,1,17604,N
Delhi (NR),REWARI TERMINAL,AJANTA OFFSET & PACKINGS LTD.,123058,28.4685,77.3039,Accepted,Rewari,28-Feb-11,104.5,115003,1,7/25/2014 12:58,,,,1,1,3944,N
Uttar Pradesh 2 (NR),Meerut Terminal,AJANTA SERVICE STATION(MEERUT),161634,28.988678,77.700016,Accepted,MG,8-Feb-12,19.5,104004,1,1/8/2015 21:42,1,,,1,1,14819,N
Punjab (NR),SANGRUR TERMINAL,AJAY FUEL JUNCTION,181345,31.024265,76.563591,Accepted,SHARAD MATHUR,16-Mar-12,148,3233,1,10/15/2014 14:56,1,,,1,1,7401,N
Karnataka (SR),Navalur Depot,AJAY FUELS,175266,15.35078,76.13692,Accepted,H_KANNAPU,24-Sep-15,,96001,0,9/24/2015 12:45,,9/24/2015 12:45,10042,1,1,18164,N
Delhi (NR),Bijwasan Terminal,Ajay Service Station (Shahdara),186849,28.6767,77.321854,Accepted,Bijwasan,21-Feb-11,38,23269,1,7/25/2014 12:48,,,,1,1,2454,N
Uttar Pradesh 2 (NR),Bareilly Depot,AJIM KISAN SEWA KENDRA,251271,28.705706,78.822945,Accepted,Aonla,20-Sep-11,83,15366,1,1/8/2015 21:42,1,,,1,1,13358,N
Uttar Pradesh 2 (NR),Bareilly Depot,AJIT SERVICE STATION,153801,28.764727,79.726288,Accepted,M K Gupta,2-Apr-12,115,9006,1,1/8/2015 21:42,1,,,1,1,13233,N
Uttar Pradesh 1 (NR),MUGHALSARAI TERMINAL,AJIT SUJIT FILLING STATION,156037,25.98572,83.872032,Accepted,R R,6-Dec-11,147,14797,1,7/25/2014 12:35,,,,1,1,1472,N
Karnataka (SR),Hassan Top,AJJAYYA FUELS,226714,14.234453,75.655914,Accepted,AHMED,20-Sep-11,175.85,13720,1,2/5/2015 9:21,,,,1,1,17979,N
Punjab ( NR ),JAMMU DEPOT,AJMERI FILLING STATION,191580,33.699761,75.160317,Accepted,BHUSHAN SHARMA,20-Dec-10,248.5,62004,1,10/15/2014 14:56,1,,,1,1,6888,N
Uttar Pradesh 1 (NR),MUGHALSARAI TERMINAL,AKANSHA FILLING CENTER,171620,25.767115,84.151114,Accepted,R R,12-Jul-11,153,15546,1,7/25/2014 12:35,,,,1,1,1473,N
Delhi (NR),PANIPAT TOP,AKHIL SERVICE STATION NOONA MAJRA,152816,28.6728,76.884553,Accepted,DHAWAN,24-Feb-11,117.5,102017,1,7/25/2014 12:52,,,,1,1,2903,N
Uttar Pradesh 1 (NR),Kanpur Terminal,AKMDS FILLING STATION,186368,26.62113,81.004762,Accepted,Ravi Kumar Singh,24-Aug-15,,590558,1,9/6/2014 13:30,6,,,1,1,4590,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,AKMDS FILLING STATION,186368,26.62113,81.004762,Accepted,Amousi,,30,8014,1,7/25/2014 12:33,,,,1,1,1237,N
Uttar Pradesh 1 (NR),ALLAHABAD TERMINAL,AKSHIT FUEL CENTRE,180678,25.357691,81.422661,Accepted,Kuldip Sarma,11-Sep-15,41,5010,1,7/25/2014 12:23,,,,1,1,5,N
Uttar Pradesh 1 (NR),ALLAHABAD TERMINAL,AKSHIT FUEL CENTRE,180678,25.357691,81.422661,Accepted,Kuldip Sarma,11-Sep-15,41,599581,1,2/15/2015 15:56,6,,,1,1,5,N
Uttar Pradesh 2 (NR),Bareilly Depot,AL SAGEER KISSAN SEVA KENDRA,264116,28.557507,79.456749,Accepted,Sonam Kejriwal,28-Nov-12,67,21558,1,1/8/2015 21:42,1,,,1,1,13606,N
Uttar Pradesh 1 (NR),Kanpur Terminal,AL-HASHMI KISAN SEWA KENDRA,256303,26.960304,80.620369,Accepted,Ravi Kumar Singh,24-Aug-15,,590664,1,10/3/2014 11:00,6,,,1,1,4695,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,AL-HASHMI KISAN SEWA KENDRA,256303,26.960304,80.620369,Accepted,Amousi,13-Jan-12,47,18896,1,7/25/2014 12:33,,,,1,1,1235,N
Uttar Pradesh 2 (NR),Bareilly Depot,ALI KISAN SEWA KENDRA (KSK),216865,28.337412,78.734192,Accepted,MEZ,31-May-11,52,2583,1,1/8/2015 21:42,1,,,1,1,13481,N
Uttar Pradesh 2 (NR),Agra Top,ALIGANJ FILLING STATION,153723,27.500786,79.159234,Accepted,Agra Top,28-Jan-11,115.5,1008,1,1/8/2015 21:42,1,,,1,1,13429,N
Uttar Pradesh 2 (NR),Bareilly Depot,ALIGANJ KISAN SEWA KENDRA,216145,28.335165,79.247459,Accepted,AS,8-Jul-11,14,3771,1,1/8/2015 21:42,1,,,1,1,13356,N
Uttar Pradesh 1 (NR),KANPUR TERMINAL,ALIGANJ SERVICE STATION,155045,26.893251,80.944138,Accepted,Kanpur,13-Jun-12,117,586934,1,7/25/2014 12:30,,,,1,1,739,N
Delhi (NR),AMBALA TERMINAL,ALLIED SERVICE STATION,108764,30.720348,76.770538,Accepted,Ambala,13-Jul-11,51.5,1424,1,7/25/2014 12:39,,,,1,1,1978,N
Uttar Pradesh 1 (NR),GONDA DEPOT,ALOK TRADING CO (HSD) NANPARA BP,512507,27.845907,81.515388,Accepted,GUPTA,26-Jul-11,98,46006,1,7/25/2014 12:28,,,,1,1,439,N
Uttar Pradesh 1 (NR),GONDA DEPOT,ALOK TRADING CO(SH) GANDHINAGAR,512482,26.803659,82.755325,Accepted,VERMA,18-Aug-11,104,17222,1,7/25/2014 12:28,,,,1,1,442,N
Uttar Pradesh 1 (NR),GONDA DEPOT,ALOK TRADING CO.,154061,26.802935,82.771248,Accepted,VERMA,14-Mar-11,106,13618,1,7/25/2014 12:28,,,,1,1,440,N
Uttar Pradesh 1 (NR),GONDA DEPOT,ALOK TRADING CO. NANPARA,508196,27.860491,81.5059,Accepted,Gonda,,100,46005,1,7/25/2014 12:28,,,,1,1,444,N
