S.No,New Device Number,NewMobileNumber,NewInstallation,INSTALLEDON,VehicleNumber,TransporterName,01-SEP'-15,02-SEP'-15,03-SEP'-15,04-SEP'-15,05-SEP'-15,06-SEP'-15,07-SEP'-15,08-SEP'-15,09-SEP'-15,10-SEP'-15,11-SEP'-15,12-SEP'-15,13-SEP'-15,14-SEP'-15,15-SEP'-15,16-SEP'-15,17-SEP'-15,18-SEP'-15,19-SEP'-15,20-SEP'-15,21-SEP'-15,22-SEP'-15,23-SEP'-15,24-SEP'-15,25-SEP'-15,26-SEP'-15,27-SEP'-15,28-SEP'-15,29-SEP'-15,30-SEP'-15,R,P,UM,UI,N,UI+N,BILLING YES/NO,Remark
14,QCQ1204753,9873568338,OL001/00014,29-Oct-11,RJ14GD4268,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,24,6,0,0,0,0,YES,
15,QCQ1204280,8879678593,OL001/00015,29-Oct-11,RJ14GD4270,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,P,R,R,R,R,R,R,R,R,P,P,R,R,R,P,R,R,R,R,R,R,R,R,R,R,R,P,R,25,5,0,0,0,0,YES,
16,QCQ1101769,8879613128,OL001/00016,29-Oct-11,RJ29GA0992,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,P,P,P,21,9,0,0,0,0,YES,
17,QCQ1204472,8879690473,OL001/00017,31-Oct-11,HR38P5466,MSIL-Chetak Supply Chain Private Limited,P,P,P,P,P,P,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,22,8,0,0,0,0,YES,
18,EEB1500213,7506928454,OL001/00018,1-Nov-11,OR07W3520,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
19,QCQ1100083,8879460135,OL001/00019,2-Nov-11,HR38M3438,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,P,P,R,P,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,25,5,0,0,0,0,YES,
20,QCQ1204349,8879690349,OL001/00020,2-Nov-11,HR38M5085,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
21,QCQ1100074,8879460177,OL001/00021,2-Nov-11,RJ25GA2246,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,P,P,P,P,N,19,10,0,0,1,1,YES,
22,QCQ1102854,8879614230,OL001/00022,2-Nov-11,NL01D5085,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
23,QCQ1100108,8879460092,OL001/00024,3-Nov-11,OR07X3105,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,R,R,R,R,R,R,R,R,R,29,1,0,0,0,0,YES,
24,QCQ1103457,8879678094,OL001/00025,3-Nov-11,RJ14GB2133,MSIL-SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
25,QCQ1103114,8879618764,OL001/00026,4-Nov-11,RJ14GF7884,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,R,R,R,R,27,3,0,0,0,0,YES,
26,QCQ1100085,8879460137,OL001/00027,4-Nov-11,RJ14GF2598,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
27,QCQ1102752,8879614126,OL001/00028,4-Nov-11,RJ14GF2602,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
28,QCQ1203927,8879678569,OL001/00029,4-Nov-11,RJ14GD2790,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
29,QCQ1102299,8879613667,OL001/00030,4-Nov-11,HR55J5613,MSIL-Chetak Supply Chain Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
30,QCQ1204576,8879676975,OL001/00031,5-Nov-11,NL01G6616,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,P,P,R,R,R,R,R,R,R,R,R,R,R,R,22,8,0,0,0,0,YES,
31,QCQ1101402,8879612756,OL001/00032,5-Nov-11,HR38P5462,MSIL-Chetak Supply Chain Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
32,QCQ1100657,8879678894,OL001/00034,8-Nov-11,NL01G6622,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,P,R,R,R,R,R,R,R,R,R,27,3,0,0,0,0,YES,
33,QCQ1204717,8879442393,OL001/00035,8-Nov-11,HR55M1618,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,P,P,P,P,20,10,0,0,0,0,YES,
34,QCQ1101454,7506449477,OL001/00036,9-Nov-11,HR55L2503,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,R,29,1,0,0,0,0,YES,
35,QCQ1103138,8879618789,OL001/00037,9-Nov-11,HR55L3074,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,UI,R,R,R,R,R,R,R,P,P,R,R,R,R,24,5,0,1,0,1,YES,
36,EEB1500463,8879787688,OL001/00038,9-Nov-11,NL02G7590,MSIL-OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
37,QCQ1305703,9873913234,OL001/00039,9-Nov-11,NL02G1538,MSIL-OSLLOGISTICSPVT.LTD,P,R,R,R,R,R,R,R,P,P,P,P,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,23,7,0,0,0,0,YES,
38,QCQ1100170,8879460223,OL001/00040,9-Nov-11,NL01G4727,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,R,R,29,1,0,0,0,0,YES,
39,QCQ1100035,8879460265,OL001/00041,9-Nov-11,RJ14GC9586,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,13,17,0,0,0,0,YES,
40,QCQ1100586,8879442602,OL001/00042,9-Nov-11,RJ14GB1302,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,30,0,0,0,0,YES,
41,QCQ1101310,8879612663,OL001/00043,10-Nov-11,HR55L2501,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,P,P,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,26,4,0,0,0,0,YES,
42,QCQ1203603,8879678242,OL001/00044,10-Nov-11,MH43E8317,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
43,QCQ1100193,8879460246,OL001/00045,10-Nov-11,HR55K1213,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,R,R,R,R,R,R,R,R,R,R,10,20,0,0,0,0,YES,
44,EEB1500373,9930508246,OL001/00046,10-Nov-11,HR55F9174,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
45,QCQ1103057,8879618707,OL001/00047,10-Nov-11,HR38N7722,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
46,EEB1500051,7506928681,OL001/00048,10-Nov-11,RJ29GA0998,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
47,QCQ1103409,8879613038,OL001/00049,10-Nov-11,NL01L8648,MSIL-SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
48,QCQ1100163,8879460216,OL001/00050,10-Nov-11,NL01D5141,MSIL-BHARATCARRIERSLTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,30,0,0,0,0,YES,
49,QCQ1100191,8879460244,OL001/00051,10-Nov-11,HR55K2860,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,UI,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,29,0,0,1,0,1,YES,
50,QCQ1101144,8879612494,OL001/00052,10-Nov-11,NL01K0637,MSIL-SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
51,QCQ1102432,,OL001/00053,10-Nov-11,NL01K0659,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
52,QCQ1102625,8879613997,OL001/00054,11-Nov-11,NL01G7395,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
53,QCQ1103208,8879677828,OL001/00055,11-Nov-11,HR55L0234,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
54,EEB1500342,7506932906,OL001/00056,11-Nov-11,NL01G7097,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
55,EEB1500465,7506730967,OL001/00057,11-Nov-11,HR55F8050,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
56,QCQ1101951,8879613313,OL001/00058,11-Nov-11,RJ25GA2241,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,P,P,P,P,P,P,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,22,8,0,0,0,0,YES,
57,QCQ1204538,8879676937,OL001/00059,11-Nov-11,HR38M3402,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,29,0,0,0,1,1,YES,
58,QCQ1100219,8879460146,OL001/00060,11-Nov-11,HR55L2167,MSIL-SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
59,QCQ1204761,8879697884,OL001/00061,11-Nov-11,NL01D5614,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,29,1,0,0,0,0,YES,
60,QCQ1204894,8452985440,OL001/00062,11-Nov-11,OR07W3263,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
61,QCQ1100212,8879460117,OL001/00063,11-Nov-11,OR05AA7412,MSIL-BHARATCARRIERSLTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,R,R,R,R,R,R,R,R,R,9,21,0,0,0,0,YES,
62,QCQ1102213,8879613579,OL001/00064,12-Nov-11,RJ25GA2345,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,R,R,R,R,28,2,0,0,0,0,YES,
63,QCQ1203828,8879678469,OL001/00065,22-Dec-11,HR55C1977,MSIL-TVS RHR FINISHED VEHILCES LOGISTICS,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,30,0,0,0,0,YES,
64,QCQ1101869,8879613230,OL001/00924,4-Jan-12,MH04FU0710,MSIL-AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
65,QCQ1203877,8879678519,OL001/00067,12-Nov-11,HR38N0233,MSIL-SUSHILATRANSPORTPVT.LTD,R,R,R,P,R,P,P,P,P,P,P,P,R,P,R,P,R,R,R,R,R,P,R,P,P,P,R,P,R,R,15,15,0,0,0,0,YES,
66,QCQ1204879,8879697431,OL001/00068,12-Nov-11,RJ14GB1993,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,18,12,0,0,0,0,YES,
67,QCQ1102684,8879614057,OL001/00069,12-Nov-11,NL02G9005,MSIL-OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
68,QCQ1204919,9444067803,OL001/00070,12-Nov-11,NL02G2590,MSIL-OSLLOGISTICSPVT.LTD,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,R,5,25,0,0,0,0,YES,
69,QCQ1101935,8879613296,OL001/00071,12-Nov-11,NL01G6621,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,R,27,3,0,0,0,0,YES,
70,QCQ1100198,8879460251,OL001/00072,16-Nov-11,HR55F5405,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,UI,UI,UI,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,27,0,3,0,3,YES,
71,QCQ1101984,8879787672,OL001/01199,14-Jan-12,NL01K5213,MSIL-AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,P,P,P,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,25,5,0,0,0,0,YES,
72,QCQ1102721,8879614094,OL001/00073,18-Nov-11,HR55K5239,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
73,QCQ1100201,8879460124,OL001/00074,18-Nov-11,HR55F5402,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
74,QCQ1100202,8879460255,OL001/00075,19-Nov-11,HR55C3623,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,0,0,30,0,0,0,YES,
75,QCQ1203612,8879678251,OL001/00076,19-Nov-11,HR55M1616,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
76,QCQ1100203,8879460084,OL001/00077,19-Nov-11,HR55G9992,MSIL-CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
77,QCQ1100299,8879442173,OL001/00078,19-Nov-11,RJ29GA0994,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,UI,R,R,R,R,R,R,R,R,R,R,R,R,R,29,0,0,1,0,1,YES,
78,QCQ1102588,8879613960,OL001/00079,22-Nov-11,HR55F8049,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,P,P,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,26,4,0,0,0,0,YES,
79,EEB1500503,9769294036,OL001/00080,22-Nov-11,RJ29GA0996,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,P,P,P,P,P,P,P,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,R,R,R,R,R,R,R,9,21,0,0,0,0,YES,
80,QCQ1205118,9444067802,OL001/00081,22-Nov-11,HR55L2187,MSIL-SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
81,QCQ1102075,7506449475,OL001/00082,22-Nov-11,NL01G3483,MSIL-BHARATCARRIERSLTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,30,0,0,0,0,YES,
82,QCQ1100809,8879442699,OL001/00083,22-Nov-11,OR07W0881,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,29,1,0,0,0,0,YES,
83,QCQ1305999,9440685579,OL001/00084,22-Nov-11,NL01D5106,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,29,0,0,0,1,1,YES,
84,QCQ1305707,9654954201,OL001/00085,22-Nov-11,HR55D7427,MSIL-SUSHILATRANSPORTPVT.LTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,R,R,R,R,R,R,R,R,R,R,10,20,0,0,0,0,YES,
85,QCQ1305942,8879676885,OL001/00087,23-Nov-11,RJ29GA0851,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,R,R,R,17,13,0,0,0,0,YES,
86,QCQ1102696,8879679042,OL001/00088,23-Nov-11,RJ14GD2534,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,P,P,22,8,0,0,0,0,YES,
87,QCQ1100065,8879460297,OL001/00089,23-Nov-11,HR55L7034,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
88,QCQ1100342,8879442218,OL001/00090,23-Nov-11,HR55M6950,MSIL-SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,UI,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,29,0,0,1,0,1,YES,
89,QCQ1100309,8879442183,OL001/00091,23-Nov-11,RJ14GE9784,MSIL-SHRIKRSNAURJAPROJECTLIMITED,R,R,P,P,P,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,25,5,0,0,0,0,YES,
90,QCQ1101884,8879613245,OL001/00092,23-Nov-11,RJ14GE9775,MSIL-SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
91,QCQ1100377,8879442257,OL001/00093,23-Nov-11,HR55L2207,MSIL-SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
92,QCQ1102005,8879613368,OL001/00094,23-Nov-11,HR55M3117,MSIL-SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
93,QCQ1100432,8879442317,OL001/00095,23-Nov-11,OR07W3521,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
94,QCQ1100331,8879442206,OL001/00097,24-Nov-11,HR55L2217,MSIL-SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
